route,distance,store,client
"['store', 'client']",[1.7086927374573548],"(40.41101822870703, -79.91054922095948)","(40.39573760570238, -79.91292023100742)"
"['store', '56', '23', 'client']",[16.03594585106262],"(40.41101822870703, -79.91054922095948)","(40.368298681439256, -80.07956264609803)"
"['store', 'client']",[9.558759730482272],"(40.41101822870703, -79.91054922095948)","(40.41194522162193, -80.02315890366036)"
"['store', 'client']",[8.287365558731974],"(40.41101822870703, -79.91054922095948)","(40.394153287573296, -80.00564848710505)"
"['store', 'client']",[3.8393315937015475],"(40.41101822870703, -79.91054922095948)","(40.44206970880777, -79.89065029943806)"
"['store', '14', '10', 'client']",[23.101281300359993],"(40.41101822870703, -79.91054922095948)","(40.48908079113525, -80.14180928974231)"
"['store', '56', 'client']",[10.303990232234687],"(40.41101822870703, -79.91054922095948)","(40.44093753709081, -80.02502462400277)"
"['store', 'client']",[4.53371431789281],"(40.41101822870703, -79.91054922095948)","(40.436883212591454, -79.86921316567212)"
"['store', 'client']",[5.741055507724574],"(40.41101822870703, -79.91054922095948)","(40.45494200253911, -79.94623807179184)"
"['store', 'client']",[9.184026239964522],"(40.41101822870703, -79.91054922095948)","(40.39250430262749, -80.01598963405165)"
"['store', '6', '39', 'client']",[17.224790867920493],"(40.41101822870703, -79.91054922095948)","(40.520716070264136, -80.03424306788033)"
"['store', 'client']",[7.33698301393633],"(40.41101822870703, -79.91054922095948)","(40.44542939655887, -79.98435976472223)"
"['store', '15', 'client']",[18.329357845993236],"(40.41101822870703, -79.91054922095948)","(40.54396247415664, -79.78243814779233)"
"['store', 'client']",[9.893859171987065],"(40.41101822870703, -79.91054922095948)","(40.45725451692346, -80.01022370315452)"
"['store', 'client']",[4.498350083069635],"(40.41101822870703, -79.91054922095948)","(40.44542460958132, -79.88256707941717)"
"['store', '11', 'client']",[13.844980101527895],"(40.41101822870703, -79.91054922095948)","(40.35643313355787, -80.04977296760441)"
"['store', 'client']",[8.634773521492107],"(40.41101822870703, -79.91054922095948)","(40.43024470547947, -80.00913428490844)"
"['store', 'client']",[4.069445224108094],"(40.41101822870703, -79.91054922095948)","(40.37513651022318, -79.90080053520771)"
"['store', '6', '39', 'client']",[18.890131649686094],"(40.41101822870703, -79.91054922095948)","(40.500907121045, -80.05382880302983)"
"['store', '6', '4', 'client']",[21.175589792524818],"(40.41101822870703, -79.91054922095948)","(40.5967428698109, -79.94051084068083)"
"['store', 'client']",[2.2804795222939527],"(40.41101822870703, -79.91054922095948)","(40.428181008919935, -79.89579233218424)"
"['store', '6', '39', 'client']",[21.379765784481165],"(40.41101822870703, -79.91054922095948)","(40.50944257682816, -80.08456378804398)"
"['store', 'client']",[7.002072591025394],"(40.41101822870703, -79.91054922095948)","(40.47278650631391, -79.89394735542173)"
"['store', '56', 'client']",[10.235983214228861],"(40.41101822870703, -79.91054922095948)","(40.44034313586627, -80.02447132324231)"
"['store', 'client']",[6.958295614789834],"(40.41101822870703, -79.91054922095948)","(40.46396430306783, -79.95441436192617)"
